id,gender,monthly_income,age,beauty,games,clothes,car,alcoholic_beverages
91096,female,1239,20,0.11665543,0,0.402184048,0,0.481160522
21110,female,5486,32,0.331526975,0,0.57510336,0,0.093369665
22625,female,1376,19,0.003399866,0,0.309824581,0,0.686775553
36520,male,565,18,0,0.438465445,0,0,0.561534555
10499,female,1194,19,0,0.81881616,0.017606162,0,0.163577678
67909,female,9604,49,0.377796805,0,0.622203195,0,0
72913,female,4401,38,0.266738261,0,0.427240739,0,0.306021
84606,female,9494,50,0.322131718,0,0.677868282,0,0
57939,female,8373,52,0.40759332,0,0.59240668,0,0
5199,female,9119,50,0.430904241,0,0.569095759,0,0
10130,male,8473,49,0.051913668,0,0.576667117,0.126409737,0.245009478
29284,male,1232,19,0,0.329707307,0,0,0.670292693
89530,male,1123,19,0,0.423367002,0,0,0.576632998
29270,female,1052,19,0.146266454,0,0.360031811,0,0.493701735
80944,male,1033,18,0,0.419333725,0,0,0.580666275
24825,male,6338,45,0,0,0.373348111,0.037637361,0.589014528
46599,male,884,20,0,0.45548384,0,0,0.54451616
6738,female,9573,55,0.372174607,0,0.627825393,0,0
32082,male,5561,40,0,0,0.477088164,0.036136909,0.486774927
54162,female,4026,37,0.392681455,0,0.474378492,0,0.132940054
37021,female,4111,34,0.229478038,0,0.456014579,0,0.314507384
29728,female,1321,19,0,0.883140646,0.097139509,0,0.019719844
44663,female,631,19,0,0.874345881,0.094924832,0,0.030729288
15771,female,4716,40,0.361470687,0,0.423209973,0,0.21531934
68089,male,8940,52,0.087224314,0,0.562999449,0.084225506,0.265550731
4483,male,5559,44,0,0,0.41489137,0.041891209,0.543217421
32467,female,834,19,0,0.877382208,0.033549298,0,0.089068494
8732,female,9285,48,0.368654186,0,0.631345814,0,0
97651,male,1041,19,0,0.488175669,0,0,0.511824331
96264,female,1308,19,0.103294425,0,0.399816946,0,0.49688863
39156,female,1411,19,0,0.875738862,0.00899776,0,0.115263378
33538,female,1301,19,0.105075119,0,0.449118933,0,0.445805948
35424,female,5842,38,0.37243719,0,0.54914662,0,0.07841619
47407,female,1207,18,0,0.800233254,0.091412204,0,0.108354542
15514,female,5950,41,0.284419646,0,0.5491567,0,0.166423654
